customer_id,subscription_start,last_active_date,plan_type,status
CUST0001,2024-02-02,2026-03-10,Basic,active
CUST0002,2024-06-24,2025-12-15,Basic,active
CUST0003,2024-04-25,2025-03-02,Premium,churned
CUST0004,2024-06-22,2025-07-22,Premium,churned
CUST0005,2024-05-03,2025-10-01,Standard,active
CUST0006,2024-12-28,2026-02-24,Basic,active
CUST0007,2024-04-03,2024-12-15,Premium,churned
CUST0008,2024-04-13,2024-11-06,Premium,churned
CUST0009,2025-05-26,2026-04-09,Basic,active
CUST0010,2025-05-07,2026-01-23,Standard,churned
CUST0011,2024-10-30,2025-07-17,Standard,churned
CUST0012,2024-06-25,2025-02-06,Standard,churned
CUST0013,2025-06-20,2026-01-09,Standard,active
CUST0014,2024-02-09,2024-08-24,Standard,churned
CUST0015,2024-06-29,2025-10-14,Premium,active
CUST0016,2024-07-01,2024-11-19,Standard,churned
CUST0017,2025-03-29,2025-05-25,Basic,churned
CUST0018,2024-05-09,2026-01-01,Standard,active
CUST0019,2024-08-14,2026-03-23,Standard,active
CUST0020,2024-09-24,2025-06-14,Standard,active
CUST0021,2024-03-28,2026-01-31,Standard,active
CUST0022,2024-08-23,2025-05-24,Standard,active
CUST0023,2025-02-03,2025-06-16,Standard,churned
CUST0024,2024-07-19,2024-12-10,Standard,churned
CUST0025,2024-10-12,2025-12-18,Basic,active
CUST0026,2024-03-19,2026-05-14,Standard,active
CUST0027,2024-08-29,2025-01-19,Standard,churned
CUST0028,2024-07-03,2025-01-09,Premium,churned
CUST0029,2024-01-31,2025-07-28,Basic,active
CUST0030,2024-01-04,2024-02-21,Basic,churned
CUST0031,2024-09-20,2026-01-23,Premium,active
CUST0032,2024-11-21,2025-01-23,Basic,churned
CUST0033,2024-07-08,2025-10-02,Standard,active
CUST0034,2024-11-02,2025-06-28,Standard,active
CUST0035,2024-02-29,2026-03-27,Standard,active
CUST0036,2025-01-29,2026-03-30,Standard,active
CUST0037,2025-03-08,2026-02-18,Standard,active
CUST0038,2024-07-05,2024-11-17,Basic,churned
CUST0039,2024-01-04,2025-07-29,Premium,active
CUST0040,2025-03-26,2026-03-24,Premium,churned
CUST0041,2024-07-22,2025-10-31,Basic,active
CUST0042,2024-08-08,2024-11-20,Standard,churned
CUST0043,2024-11-09,2026-03-16,Premium,active
CUST0044,2024-03-30,2025-11-28,Standard,active
CUST0045,2025-05-13,2025-05-02,Premium,churned
CUST0046,2024-05-29,2026-01-18,Basic,active
CUST0047,2024-03-08,2026-05-25,Premium,active
CUST0048,2025-06-04,2025-07-19,Basic,churned
CUST0049,2024-04-09,2026-04-11,Premium,active
CUST0050,2025-04-08,2026-04-24,Basic,active
CUST0051,2024-02-19,2025-04-27,Premium,churned
CUST0052,2024-02-02,2024-09-05,Premium,churned
CUST0053,2024-05-16,2026-02-17,Standard,active
CUST0054,2025-03-10,2025-10-08,Premium,churned
CUST0055,2024-08-22,2025-04-02,Standard,churned
CUST0056,2024-05-07,2026-03-12,Basic,active
CUST0057,2024-03-29,2026-02-09,Premium,active
CUST0058,2024-06-17,2024-09-08,Basic,churned
CUST0059,2025-05-04,2026-04-22,Premium,active
CUST0060,2024-07-08,2026-02-15,Basic,active
CUST0061,2024-04-23,2025-05-03,Standard,active
CUST0062,2024-07-21,2024-11-16,Basic,churned
CUST0063,2024-06-20,2026-03-01,Standard,active
CUST0064,2025-06-18,2026-03-12,Standard,active
CUST0065,2024-05-30,2024-11-02,Standard,churned
CUST0066,2024-12-19,2026-03-16,Premium,active
CUST0067,2024-08-17,2026-03-23,Premium,active
CUST0068,2024-04-18,2025-09-15,Standard,active
CUST0069,2024-02-06,2024-05-06,Basic,churned
CUST0070,2024-04-27,2026-02-22,Basic,active
CUST0071,2025-02-27,2025-05-06,Basic,churned
CUST0072,2025-06-19,2026-05-21,Standard,active
CUST0073,2024-08-07,2026-05-10,Standard,active
CUST0074,2024-02-07,2024-07-01,Basic,churned
CUST0075,2024-09-10,2026-05-11,Premium,active
CUST0076,2025-05-31,2026-03-24,Premium,churned
CUST0077,2025-06-29,2026-02-13,Standard,active
CUST0078,2024-06-26,2024-07-29,Basic,churned
CUST0079,2025-02-15,2025-12-06,Standard,active
CUST0080,2024-10-01,2025-05-05,Standard,active
CUST0081,2025-04-05,2026-03-11,Standard,active
CUST0082,2025-03-28,2026-03-03,Premium,active
CUST0083,2025-05-16,2025-07-21,Basic,churned
CUST0084,2024-12-04,2026-05-21,Standard,active
CUST0085,2025-06-13,2025-12-20,Basic,active
CUST0086,2025-04-25,2026-04-23,Premium,active
CUST0087,2025-04-27,2026-02-13,Basic,active
CUST0088,2025-06-15,2025-11-18,Standard,churned
CUST0089,2024-01-23,2024-04-28,Basic,churned
CUST0090,2024-03-18,2026-01-12,Basic,active
CUST0091,2024-06-22,2024-08-13,Basic,churned
CUST0092,2025-06-20,2026-03-06,Standard,active
CUST0093,2024-03-15,2025-08-25,Standard,active
CUST0094,2025-01-10,2025-09-03,Premium,active
CUST0095,2024-05-09,2025-02-09,Premium,churned
CUST0096,2025-05-14,2025-09-14,Basic,churned
CUST0097,2024-09-14,2026-02-23,Standard,active
CUST0098,2025-04-15,2025-06-08,Basic,churned
CUST0099,2025-03-16,2025-09-25,Basic,active
CUST0100,2025-05-01,2026-03-25,Premium,active
